StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID_1,QSM01,QSM01_8_TEXT,QSM02,QSM03,QSM04,QSM04_6_TEXT,QSM05,QSM05_4_TEXT,QSM06,QSM06_8_TEXT,QSM07,QSM07_8_TEXT,QSM08,QSM09,QSM10,QSM11,QSM12,Q1_8_TEXT - Parent Topics,Q1_8_TEXT - Topics,Q1_8_TEXT - Topic Hierarchy Level 1
2025-12-01 14:07:11,2025-12-01 14:09:24,0,199.111.65.11,100,133,1,2025-12-01 14:09:25,R_35u2HrHbLKo6JGg,,,,,38.3,-77.4739,anonymous,EN,2027,8,youtube,5,1,"1,3",,"2,4",tv,"2,3,4",,4,,5,2,2,1,3,,Unknown,
2025-12-01 14:08:05,2025-12-01 14:09:46,0,199.111.65.11,100,101,1,2025-12-01 14:09:46,R_7iwEBRlRWbchUaE,,,,,38.3,-77.4739,anonymous,EN,2036,"1,2,3,5",,1,1,"1,2,3,5",,"1,2",,"3,4,5,7",,"4,5,7",,3,4,5,3,1,,,
2025-12-02 14:10:48,2025-12-02 14:14:01,0,199.111.64.88,100,192,1,2025-12-02 14:14:02,R_5dN44LFrYqdWw93,,,,,38.3,-77.4739,anonymous,EN,3018,"2,5",,4,1,2,,1,,"1,4",,"2,6",,3,2,2,1,2,,,
2025-12-02 14:10:49,2025-12-02 14:14:11,0,199.111.64.88,100,201,1,2025-12-02 14:14:11,R_5DRCNngrC1nWIle,,,,,38.3,-77.4739,anonymous,EN,3027,"2,4,5,8",YikYak,4,1,"1,2,3,4,5",,1,,"1,3,4",,"2,6,7",,4,2,2,1,1,,Unknown,
2025-12-02 14:10:48,2025-12-02 14:14:38,0,199.111.64.88,100,229,1,2025-12-02 14:14:38,R_5h4k7kX2oiL3hyY,,,,,38.3,-77.4739,anonymous,EN,3036,"1,2,3,5",,3,1,"1,2,5",,1,,"1,3,4",,"2,7",,3,2,4,1,2,,,
2025-12-02 14:10:49,2025-12-02 14:14:49,0,199.111.64.88,100,239,1,2025-12-02 14:14:50,R_3bHDq6QhbfEFf33,,,,,38.3,-77.4739,anonymous,EN,3009,"1,2,4",,4,3,"1,5",,1,,"1,2,4",,"5,7",,2,4,4,1,2,,,
2025-12-03 14:06:50,2025-12-03 14:08:31,0,199.111.64.88,100,101,1,2025-12-03 14:08:31,R_74985Vv3gsRjfOz,,,,,38.3,-77.4739,anonymous,EN,4025,"2,3,5",,4,3,2,,1,,"1,3,4",,"6,7",,4,3,4,1,3,,,
2025-12-03 14:07:11,2025-12-03 14:08:48,0,199.111.65.11,100,97,1,2025-12-03 14:08:48,R_7aP0Gg3ujUX1REL,,,,,38.3,-77.4739,anonymous,EN,4010,"1,2,3,4,5",,3,1,"1,2,3,4,5",,"1,3",,"1,2,3,4,5",,"3,6,7",,1,4,5,1,3,,,
2025-12-03 14:07:35,2025-12-03 14:10:32,0,199.111.65.11,100,177,1,2025-12-03 14:10:33,R_70e3jm6qpluBThb,,,,,38.3,-77.4739,anonymous,EN,4012,"2,5",,1,1,2,,"1,2",,"1,3,8",Work,"4,5,6",,4,2,4,1,1,,,
2025-12-03 14:08:34,2025-12-03 14:11:13,0,199.111.65.11,100,159,1,2025-12-03 14:11:13,R_1rv8eiCGtP4soxX,,,,,38.3,-77.4739,anonymous,EN,4015,"2,5",,3,1,2,,1,,"1,3,4,5,7",,"2,6,7",,2,3,4,1,2,,,
2025-12-03 14:07:19,2025-12-03 14:11:23,0,199.111.65.11,100,244,1,2025-12-03 14:11:24,R_60OIvj5kxAAT3J2,,,,,38.3,-77.4739,anonymous,EN,401,"2,4",,5,4,6,Sometimes at night,"1,2",,"1,2",,"4,6",,5,3,5,1,1,,,
2025-12-03 14:09:31,2025-12-03 14:15:19,0,199.111.65.11,100,347,1,2025-12-03 14:15:19,R_6f0Ei1ik4XL5XxQ,,,,,38.3,-77.4739,anonymous,EN,4020,9,,5,1,7,,5,,9,,6,,2,1,1,1,3,,,
2025-12-04 18:07:55,2025-12-04 18:09:14,0,199.111.64.88,100,79,1,2025-12-04 18:09:14,R_3ypaCyQwy24Yp0U,,,,,38.3,-77.4739,anonymous,EN,5018,"1,2,3,4",,4,1,"1,2,3,5",,1,,"2,3,4",,7,,5,3,4,1,3,,,
2025-12-04 18:07:54,2025-12-04 18:09:59,0,199.111.64.88,100,125,1,2025-12-04 18:10:00,R_31VKHiXO3Dityc9,,,,,38.3,-77.4739,anonymous,EN,5036,9,,5,4,7,,5,,9,,"4,5,6,8",YouTube,4,3,5,4,3,,,
2025-12-04 18:07:53,2025-12-04 18:10:15,0,199.111.65.11,100,141,1,2025-12-04 18:10:15,R_3NV7ZFW5b2tbbZD,,,,,38.3,-77.4739,anonymous,EN,5009,3,,5,2,6,When I'm bored,"1,2",,"3,4,7",,"2,4,6",,1,1,5,1,1,,,
2025-12-04 18:07:53,2025-12-04 18:11:06,0,199.111.64.88,100,193,1,2025-12-04 18:11:07,R_3ZBwjrEfe0fl2DL,,,,,38.3,-77.4739,anonymous,EN,5045,"1,2,5,8",Youtube,3,1,"1,3,5",,1,,"1,2,4",,"4,7",,2,4,4,1,4,,Unknown,
2025-12-04 18:07:53,2025-12-04 18:11:30,0,199.111.64.88,100,217,1,2025-12-04 18:11:31,R_1BUSjFGXHroVlHX,,,,,38.3,-77.4739,anonymous,EN,5054,"2,3,4,5",,3,1,"1,2,3,4,5",,1,,"1,2,4,7",,"4,5,7",,2,2,5,1,1,,,
2025-12-04 18:06:58,2025-12-04 18:11:48,0,199.111.65.11,100,290,1,2025-12-04 18:11:49,R_1FR5U5jEErZg90E,,,,,38.3,-77.4739,anonymous,EN,5027,"2,4",,2,1,"2,3,5",,"1,2",,"1,3,4,7",,"2,5",,4,3,3,4,4,,,
